,city_name,country_code,lat,lon,state_code,timezone,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
0,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,82,132.5,2024-05-31:19,16.7,80.7,43.0,27.0,14.3,2024-06-01T00:00:00,2024-05-31T19:00:00,1717182000
1,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,78,129.6,2024-05-31:20,17.3,69.3,40.0,25.0,13.7,2024-06-01T01:00:00,2024-05-31T20:00:00,1717185600
2,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,74,126.6,2024-05-31:21,18.0,58.0,37.0,23.0,13.0,2024-06-01T02:00:00,2024-05-31T21:00:00,1717189200
3,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,72,125.5,2024-05-31:22,18.7,50.7,36.0,22.33,12.7,2024-06-01T03:00:00,2024-05-31T22:00:00,1717192800
4,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,71,124.3,2024-05-31:23,19.3,43.3,35.0,21.67,12.3,2024-06-01T04:00:00,2024-05-31T23:00:00,1717196400
5,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,69,123.1,2024-06-01:00,20.0,36.0,34.0,21.0,12.0,2024-06-01T05:00:00,2024-06-01T00:00:00,1717200000
6,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,71,125.7,2024-06-01:01,17.3,56.0,36.0,21.67,13.7,2024-06-01T06:00:00,2024-06-01T01:00:00,1717203600
7,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,72,128.2,2024-06-01:02,14.7,76.0,38.0,22.33,15.3,2024-06-01T07:00:00,2024-06-01T02:00:00,1717207200
8,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,74,130.7,2024-06-01:03,12.0,96.0,40.0,23.0,17.0,2024-06-01T08:00:00,2024-06-01T03:00:00,1717210800
9,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,73,114.2,2024-06-01:04,8.7,120.7,43.3,22.67,15.3,2024-06-01T09:00:00,2024-06-01T04:00:00,1717214400
10,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,82,97.7,2024-06-01:05,5.3,145.3,46.7,22.33,13.7,2024-06-01T10:00:00,2024-06-01T05:00:00,1717218000
11,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,103,81.1,2024-06-01:06,2.0,170.0,50.0,22.0,12.0,2024-06-01T11:00:00,2024-06-01T06:00:00,1717221600
12,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,103,80.0,2024-06-01:07,2.0,170.0,50.3,21.33,13.0,2024-06-01T12:00:00,2024-06-01T07:00:00,1717225200
13,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,103,78.8,2024-06-01:08,2.0,170.0,50.7,20.67,14.0,2024-06-01T13:00:00,2024-06-01T08:00:00,1717228800
14,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,103,77.6,2024-06-01:09,2.0,170.0,51.0,20.0,15.0,2024-06-01T14:00:00,2024-06-01T09:00:00,1717232400
15,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,102,80.3,2024-06-01:10,2.7,166.3,50.7,19.67,13.3,2024-06-01T15:00:00,2024-06-01T10:00:00,1717236000
16,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,101,83.1,2024-06-01:11,3.3,162.7,50.3,19.33,11.7,2024-06-01T16:00:00,2024-06-01T11:00:00,1717239600
17,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,99,85.8,2024-06-01:12,4.0,159.0,50.0,19.0,10.0,2024-06-01T17:00:00,2024-06-01T12:00:00,1717243200
18,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,88,93.0,2024-06-01:13,6.0,150.3,47.7,21.0,10.7,2024-06-01T18:00:00,2024-06-01T13:00:00,1717246800
19,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,77,100.2,2024-06-01:14,8.0,141.7,45.3,23.0,11.3,2024-06-01T19:00:00,2024-06-01T14:00:00,1717250400
