,city_name,country_code,app_temp,timestamp_local
0,Gujrat,PK,28.0,2024-05-01T14:00:00
1,Gujrat,PK,28.2,2024-05-01T15:00:00
2,Gujrat,PK,28.1,2024-05-01T16:00:00
3,Gujrat,PK,27.8,2024-05-01T17:00:00
4,Gujrat,PK,27.0,2024-05-01T18:00:00
5,Gujrat,PK,25.1,2024-05-01T19:00:00
6,Gujrat,PK,23.4,2024-05-01T20:00:00
7,Gujrat,PK,22.0,2024-05-01T21:00:00
8,Gujrat,PK,21.0,2024-05-01T22:00:00
9,Gujrat,PK,20.3,2024-05-01T23:00:00
10,Gujrat,PK,20.1,2024-05-02T00:00:00
11,Gujrat,PK,19.7,2024-05-02T01:00:00
12,Gujrat,PK,18.9,2024-05-02T02:00:00
13,Gujrat,PK,18.5,2024-05-02T03:00:00
14,Gujrat,PK,17.8,2024-05-02T04:00:00
15,Gujrat,PK,17.7,2024-05-02T05:00:00
16,Gujrat,PK,17.0,2024-05-02T06:00:00
17,Gujrat,PK,18.5,2024-05-02T07:00:00
18,Gujrat,PK,20.9,2024-05-02T08:00:00
19,Gujrat,PK,24.0,2024-05-02T09:00:00
20,Gujrat,PK,26.7,2024-05-02T10:00:00
21,Gujrat,PK,28.1,2024-05-02T11:00:00
22,Gujrat,PK,29.1,2024-05-02T12:00:00
23,Gujrat,PK,29.9,2024-05-02T13:00:00
24,Gujrat,PK,30.3,2024-05-02T14:00:00
25,Gujrat,PK,30.5,2024-05-02T15:00:00
26,Gujrat,PK,30.4,2024-05-02T16:00:00
27,Gujrat,PK,30.1,2024-05-02T17:00:00
28,Gujrat,PK,29.1,2024-05-02T18:00:00
29,Gujrat,PK,27.2,2024-05-02T19:00:00
30,Gujrat,PK,25.4,2024-05-02T20:00:00
31,Gujrat,PK,24.3,2024-05-02T21:00:00
32,Gujrat,PK,22.9,2024-05-02T22:00:00
33,Gujrat,PK,22.2,2024-05-02T23:00:00
34,Gujrat,PK,21.6,2024-05-03T00:00:00
35,Gujrat,PK,21.0,2024-05-03T01:00:00
36,Gujrat,PK,20.7,2024-05-03T02:00:00
37,Gujrat,PK,20.1,2024-05-03T03:00:00
38,Gujrat,PK,20.2,2024-05-03T04:00:00
39,Gujrat,PK,19.1,2024-05-03T05:00:00
40,Gujrat,PK,18.4,2024-05-03T06:00:00
41,Gujrat,PK,20.5,2024-05-03T07:00:00
42,Gujrat,PK,22.9,2024-05-03T08:00:00
43,Gujrat,PK,25.9,2024-05-03T09:00:00
44,Gujrat,PK,28.8,2024-05-03T10:00:00
45,Gujrat,PK,29.9,2024-05-03T11:00:00
46,Gujrat,PK,31.1,2024-05-03T12:00:00
47,Gujrat,PK,32.0,2024-05-03T13:00:00
48,Gujrat,PK,32.4,2024-05-03T14:00:00
49,Gujrat,PK,31.8,2024-05-03T15:00:00
50,Gujrat,PK,31.6,2024-05-03T16:00:00
51,Gujrat,PK,30.5,2024-05-03T17:00:00
52,Gujrat,PK,29.9,2024-05-03T18:00:00
53,Gujrat,PK,29.2,2024-05-03T19:00:00
54,Gujrat,PK,27.7,2024-05-03T20:00:00
55,Gujrat,PK,27.0,2024-05-03T21:00:00
56,Gujrat,PK,26.9,2024-05-03T22:00:00
57,Gujrat,PK,25.9,2024-05-03T23:00:00
58,Gujrat,PK,25.3,2024-05-04T00:00:00
59,Gujrat,PK,24.4,2024-05-04T01:00:00
60,Gujrat,PK,22.3,2024-05-04T02:00:00
61,Gujrat,PK,22.1,2024-05-04T03:00:00
62,Gujrat,PK,22.5,2024-05-04T04:00:00
63,Gujrat,PK,22.6,2024-05-04T05:00:00
64,Gujrat,PK,22.5,2024-05-04T06:00:00
65,Gujrat,PK,23.0,2024-05-04T07:00:00
66,Gujrat,PK,24.7,2024-05-04T08:00:00
67,Gujrat,PK,26.1,2024-05-04T09:00:00
68,Gujrat,PK,27.8,2024-05-04T10:00:00
69,Gujrat,PK,30.9,2024-05-04T11:00:00
70,Gujrat,PK,30.7,2024-05-04T12:00:00
71,Gujrat,PK,32.3,2024-05-04T13:00:00
72,Gujrat,PK,32.5,2024-05-04T14:00:00
